id,phase,title,detail,closes,estimate,definition_of_done,sort_order
"P0-1","P0","Stop lying about process exit","Replace system() with argv exec (fork/execvp; CreateProcess on Windows). Decode WEXITSTATUS. Pre-flight engine existence. Use std::filesystem so Windows drive letters work. This is also the quoting/injection fix.","U-B1, U-B6, U-MISS-3, NEW-9, NEW-12","half day","gifscythe-cli returns non-zero for a missing engine, verified from at least two CWDs (repo root and working_code/gifscythe). A path with a space round-trips. A settings value with ';' is not interpreted by a shell.","1"
"P0-2","P0","Make CMake and build.sh honest","gifscythe_core → INTERFACE. Stop swallowing cmake/qmake output. Fail hard when GUI was requested but unbuilt. One GUI branch: qmake6 → qmake → cmake. Align the header comment with behavior.","U-B7, U-B9, U-M4, U-M5","1–2 h","cmake -S . configures cleanly without Qt. ./build.sh --all exits non-zero if the GUI did not actually appear in the output dir.","2"
"P0-3","P0","Windows engine + CI that can actually compile","Do not share Linux config.h. For --windows, use win32cfg.h values (SIZEOF_UNSIGNED_LONG 4, PATHNAME_SEPARATOR '\\\\', RANDOM rand). Install Qt via aqtinstall / jurplel/install-qt-action, not choco qt6-base. Build engine once, CLI+tests, CMake GUI, windeployqt, upload artifact, run test_engine.sh.","U-B8, NEW-1, NEW-16, U-MISS-12","half day","Windows job green WITH a downloadable artifact that contains gifsicle.exe + gifscythe.exe + Qt runtime. gifsicle --version still says 1.96 (U-M7), not 0.1.0.","3"
"P0-4","P0","GUI run flow: require output, verify file, handle timeout","Refuse empty output or auto-derive <name>_opt.gif. After exit 0, check exists+size>0. Honor waitForFinished's bool; on timeout kill and report failure. Disable Run while busy.","U-B4, U-B5","half day","Empty output never prints 'Optimization complete.' A missing engine is a dialog, not a green status. A 60s timeout is a visible failure.","4"
"P0-5","P0","Queue means batch; Merge is an explicit action","Default Mode::Batch. Add a mode combo (Auto/Merge/Batch/Explode). Loop one run per input in batch, writing <name>_opt.gif (or in-place behind a checkbox).","U-B3, U-MISS-9","half day","A queue of logo.gif + logo1.gif produces two optimized files. gifsicle --info on each is 12 and 1, never 13. Merge still available as an explicit action.","5"
"P0-6","P0","Safe settings parse + engine locator used by both fronts","Zero-init to_long/to_double with extraction checks and load warnings. parse_bool() consistency. EngineLocator in core: exe-dir (with .exe) → GS_ENGINE → PATH → release/<ver>. GUI status bar shows path+version or 'engine missing'.","U-B10, U-M8, U-MISS-5, NEW-2","half day","lossy=abc does not emit --lossy=0; it warns and keeps the default. GUI launched from build/gui/ finds release/0.1.0/gifsicle without copying.","6"
"P1-1","P1","One version, one identity, one output dir","Generate version.h from VERSION.md. Engine -DVERSION=1.96. test_engine.sh greps VERSION.md. Packager follows the single CMake output dir and copies gifsicle.exe when present. windeployqt inside package_portable.sh. Ship COPYING.","U-M1, U-M6, U-M7, NEW-5, U-MISS-11","half day","A version bump is a 1-file edit. gifsicle --version is 1.96. Portable folder on Windows contains GUI + engine + licenses + Qt runtime.","7"
"P1-2","P1","Queue UX, live pane honesty, save/validate","Append+dedupe, Remove/Clear, working drag-and-drop. Connect every control to the command pane. shell_quote for display. Decide two-way vs read-only and document it. save_settings() + round-trip test. gs::validate() warnings. Store Settings by value in GifsicleCommand. Include what you use.","U-M2, U-M3, U-MISS-1, U-MISS-2, U-MISS-7, U-MISS-8, NEW-3, NEW-6, NEW-7","1 day","Second 'Add' keeps the first file. Command pane matches actual argv for paths with spaces. load(save(s))==s. GifsicleCommand(Settings{}) as a prvalue does not dangle.","8"
"P1-3","P1","Correct the mapping table before anyone implements it","Delay is centiseconds, not ms. Crop is X,Y+WxH, not X,Y,WxH. Do not touch loopcount=0, -O0, or gamma=-1 sentinels. Drop or gitignore caesium-bin. Add root .gitignore / .gitattributes.","NEW-4, NEW-13, N1, N2, N14, NEW-8","2 h","FEASIBILITY_REVIEW mapping table matches the man page and the committed engine. caesium-bin is not required to clone the product.","9"
"P2-1","P2","Prove it: smoke suite in CI, both OSes, artifacts","--run from ≥2 CWDs, malformed-conf, merge-vs-batch, paths-with-spaces, SettingsIO round-trip, test_engine.sh, portable-folder file-existence checks. Fix ((PASS++)). Replace tautological test 4. Cache toolchains.","U-MISS-6, NEW-11, NEW-15","1 day","The smoke suite is green on Linux and Windows CI with downloadable artifacts. A missing engine fails the job.","10"
"P2-2","P2","Async QProcess + progress + cancel","Member QProcess, signals, progress bar, cancel, busy-state, per-file progress in batch. This is the substrate WORKLIST task 4 stands on.","U-MISS-4, U-B5","1 day","A long run leaves the window interactive. Cancel kills the engine. Batch of N files reports k/N.","11"
"P3-1","P3","UI/UX retrofit → 1.0.0 (only after P0–P2 evidence)","Input/Actions/Output tabs (XnConvert feel). Remaining GifsicleSettings widgets from the now-corrected mapping table. Dither method selector. Before/after preview, size/count, output-folder actions. Clean-Windows-machine smoke of the portable folder. Then — and only then — VERSION.md → 1.0.0. WebP/APNG stay in the bucket.","U-MISS-10, U-MISS-13, WORKLIST 3–7, NEW-14","the rest of 0.x","A person who has never heard of gifsicle can optimize two GIFs without surprises. Power users see a command that actually runs. Clean Windows machine, double-click, it works. Then bump 1.0.0.","12"
